DATE,PCEPILFE,CPILFESL_NBD20120101,LES1252881600Q_NBD20120101
1957-01-01,,12.53673,
1957-04-01,,12.63901,
1957-07-01,,12.72668,
1957-10-01,,12.82896,
1958-01-01,,12.88741,
1958-04-01,,12.94585,
1958-07-01,,12.98969,
1958-10-01,,13.06275,
1959-01-01,16.70266667,13.12119,
1959-04-01,16.79233333,13.19425,
1959-07-01,16.90433333,13.2527,
1959-10-01,17.00133333,13.34037,
1960-01-01,17.055,13.39881,
1960-04-01,17.11966667,13.42804,
1960-07-01,17.187,13.41342,
1960-10-01,17.243,13.48648,
1961-01-01,17.27233333,13.51571,
1961-04-01,17.32933333,13.55954,
1961-07-01,17.40466667,13.61799,
1961-10-01,17.447,13.66182,
1962-01-01,17.511,13.69104,
1962-04-01,17.57833333,13.74949,
1962-07-01,17.63633333,13.79333,
1962-10-01,17.66933333,13.82255,
1963-01-01,17.728,13.85177,
1963-04-01,17.79466667,13.91022,
1963-07-01,17.86333333,13.96866,
1963-10-01,17.94966667,14.04172,
1964-01-01,18.02533333,14.11478,
1964-04-01,18.07933333,14.12939,
1964-07-01,18.12966667,14.15861,
1964-10-01,18.17533333,14.23167,
1965-01-01,18.244,14.29012,
1965-04-01,18.301,14.33395,
1965-07-01,18.35766667,14.34856,
1965-10-01,18.41833333,14.42162,
1966-01-01,18.511,14.49468,
1966-04-01,18.661,14.6408,
1966-07-01,18.815,14.7723,
1966-10-01,18.978,14.91842,
1967-01-01,19.08233333,15.00609,
1967-04-01,19.21,15.12298,
1967-07-01,19.38466667,15.28371,
1967-10-01,19.58033333,15.44443,
1968-01-01,19.803,15.63438,
1968-04-01,20.03366667,15.79511,
1968-07-01,20.258,16.01428,
1968-10-01,20.49333333,16.24807,
1969-01-01,20.71733333,16.46724,
1969-04-01,20.96533333,16.73025,
1969-07-01,21.20733333,16.96404,
1969-10-01,21.45633333,17.19782,
1970-01-01,21.69033333,17.46083,
1970-04-01,21.935,17.78228,
1970-07-01,22.17966667,18.01607,
1970-10-01,22.491,18.3083,
1971-01-01,22.77566667,18.48364,
1971-04-01,23.03566667,18.67359,
1971-07-01,23.25266667,18.83432,
1971-10-01,23.38566667,18.9366,
1972-01-01,23.60966667,19.09733,
1972-04-01,23.76933333,19.24344,
1972-07-01,23.948,19.38956,
1972-10-01,24.09833333,19.49184,
1973-01-01,24.26633333,19.63795,
1973-04-01,24.59666667,19.84252,
1973-07-01,24.924,20.04708,
1973-10-01,25.27033333,20.38314,
1974-01-01,25.70433333,20.7046,
1974-04-01,26.34333333,21.24523,
1974-07-01,27.09633333,21.97581,
1974-10-01,27.75833333,22.61872,
1975-01-01,28.301,23.1009,
1975-04-01,28.73166667,23.46619,
1975-07-01,29.16333333,23.77303,
1975-10-01,29.638,24.18215,
1976-01-01,30.08866667,24.63511,
1976-04-01,30.449,24.97118,
1976-07-01,30.92633333,25.3803,
1976-10-01,31.41,25.73098,
