DATE,CORESTICKM159SFRBATL,PCEPILFE_PC1
1980-01-01,13.499249243,8.24243
1980-02-01,13.627778119,8.96923
1980-03-01,14.361385885,9.34859
1980-04-01,14.786779517,8.90701
1980-05-01,15.147255922,8.83558
1980-06-01,15.810582065,8.94714
1980-07-01,14.178529783,9.16656
1980-08-01,13.314194421,9.23061
1980-09-01,13.136608244,9.51003
1980-10-01,13.133051948,9.61363
1980-11-01,12.91869716,9.77313
1980-12-01,12.732242952,9.64666
1981-01-01,12.062863603,9.76340
1981-02-01,11.274926046,9.47448
1981-03-01,10.363727852,9.07129
1981-04-01,9.752589153,9.20711
1981-05-01,9.645887355,9.08168
1981-06-01,9.250210999,8.90371
1981-07-01,11.274384726,8.79507
1981-08-01,11.853018154,8.73678
1981-09-01,12.262533118,8.42945
1981-10-01,11.298313544,8.18418
1981-11-01,10.554645194,7.96661
1981-12-01,9.884984782,7.71437
1982-01-01,9.499196473,7.44780
1982-02-01,9.56769049,7.07907
1982-03-01,8.920648287,6.95256
1982-04-01,9.112202163,6.69349
1982-05-01,9.08479885,6.54331
1982-06-01,8.909836827,6.54467
1982-07-01,7.912560428,6.59301
1982-08-01,7.351467333,6.37073
1982-09-01,6.003409335,6.06994
1982-10-01,6.000904404,6.10887
1982-11-01,5.327823771,5.88287
1982-12-01,4.518985485,5.83075
1983-01-01,4.695598354,5.90353
1983-02-01,4.62783567,5.88731
1983-03-01,4.855813143,5.56057
1983-04-01,4.456933531,5.46366
1983-05-01,3.549623729,5.04187
1983-06-01,2.843739681,5.00615
1983-07-01,2.630755198,5.03076
1983-08-01,2.553400975,5.08954
1983-09-01,2.944004571,5.12504
1983-10-01,3.09331236,4.64851
1983-11-01,3.751793567,4.50728
1983-12-01,4.465480085,4.25172
1984-01-01,4.485762548,3.88900
1984-02-01,4.524563869,4.15825
1984-03-01,4.65415841,4.41995
1984-04-01,4.646319003,4.59347
1984-05-01,4.708074066,4.68424
1984-06-01,4.787485493,4.44440
1984-07-01,4.897092721,4.19408
1984-08-01,5.032939607,4.00096
1984-09-01,5.140612141,3.74036
1984-10-01,5.103857709,3.78931
1984-11-01,4.968986894,3.76660
1984-12-01,5.052939222,4.10206
1985-01-01,4.726710471,4.33480
1985-02-01,4.871701461,4.22143
1985-03-01,4.962072036,4.19187
1985-04-01,4.754134291,3.82651
1985-05-01,5.037120921,3.94558
1985-06-01,5.05654234,4.04261
1985-07-01,4.948295318,3.90013
1985-08-01,4.94547442,4.06577
1985-09-01,4.7871651,4.12085
1985-10-01,4.891950804,4.05429
1985-11-01,5.149995169,4.08957
1985-12-01,5.030732007,3.95942
1986-01-01,5.296961132,3.94120
1986-02-01,5.124947576,3.66890
1986-03-01,5.229854261,3.62240
1986-04-01,5.370857251,3.68735
1986-05-01,5.040741681,3.50498
1986-06-01,5.042080888,3.47487
1986-07-01,4.975291061,3.35909
1986-08-01,4.838260997,3.06802
1986-09-01,4.962973389,3.19417
1986-10-01,4.897657302,3.37644
1986-11-01,4.591247998,3.34250
1986-12-01,4.64519092,3.19456
1987-01-01,4.481798225,2.88472
1987-02-01,4.44093159,2.82472
1987-03-01,4.263792189,2.81614
1987-04-01,4.358079784,3.06546
1987-05-01,4.416917659,3.17915
1987-06-01,4.175391862,3.15345
1987-07-01,4.166490008,3.23199
1987-08-01,4.280898407,3.36667
1987-09-01,4.291035748,3.43586
1987-10-01,4.343067431,3.52916
1987-11-01,4.314664296,3.52520
1987-12-01,4.302583149,3.61102
1988-01-01,4.383640423,3.85152
1988-02-01,4.386553409,3.85795
1988-03-01,4.451939222,3.99423
1988-04-01,4.388452903,4.05791
1988-05-01,4.445286952,4.12164
1988-06-01,4.685384324,4.27395
1988-07-01,4.712055892,4.42967
1988-08-01,4.685749317,4.33692
1988-09-01,4.73102913,4.48356
