DATE,CE16OV_PC1,REAINTRATREARAT1YE
1982-01-01,-0.26312,4.3435848
1982-02-01,-0.42818,6.706843
1982-03-01,-0.89390,7.6732381
1982-04-01,-1.46453,8.1663554
1982-05-01,-0.92233,8.2654055
1982-06-01,-0.75276,9.2860217
1982-07-01,-1.19174,7.451547
1982-08-01,-1.04877,5.6719871
1982-09-01,-0.55964,3.3024834
1982-10-01,-1.15862,4.6296824
1982-11-01,-1.09274,5.7572395
1982-12-01,-0.61518,5.3496353
1983-01-01,-0.53264,4.6991893
1983-02-01,-0.67461,4.8695216
1983-03-01,-0.49462,5.3038169
1983-04-01,-0.01607,5.0879658
1983-05-01,-0.47345,5.2980312
1983-06-01,1.09500,5.9606235
1983-07-01,1.72374,4.7254495
1983-08-01,1.98227,5.7389811
1983-09-01,2.52452,5.4729138
1983-10-01,2.84634,4.9258604
1983-11-01,3.64941,4.6175617
1983-12-01,4.00275,4.4511733
1984-01-01,4.07418,5.3548319
1984-02-01,4.77853,5.2046154
1984-03-01,4.82763,5.6023441
1984-04-01,4.79711,5.3643326
1984-05-01,5.57094,5.3702453
1984-06-01,4.92681,5.3761663
1984-07-01,4.17655,6.2949869
1984-08-01,3.49874,6.0669561
1984-09-01,3.40535,6.4340674
1984-10-01,3.52708,6.8646364
1984-11-01,3.15685,6.3820939
1984-12-01,3.13313,5.7547711
1985-01-01,3.00482,5.1362167
1985-02-01,2.63041,4.792826
1985-03-01,2.90669,4.5414936
1985-04-01,2.49195,5.7171796
1985-05-01,1.65315,4.9895049
1985-06-01,0.86560,3.5209103
1985-07-01,1.30128,4.4601715
1985-08-01,1.83715,4.2583367
1985-09-01,2.05422,4.1177473
1985-10-01,2.09110,4.0826807
1985-11-01,1.92032,4.2082525
1985-12-01,1.87624,4.4588181
1986-01-01,2.43175,4.2948841
1986-02-01,1.80658,4.4831766
1986-03-01,1.72728,5.3159226
1986-04-01,1.88524,5.1160155
1986-05-01,2.01717,4.9667413
1986-06-01,2.88343,4.4915424
1986-07-01,2.81161,3.5049368
1986-08-01,2.72655,3.3550985
1986-09-01,2.25531,2.9964129
1986-10-01,2.24948,2.7660447
1986-11-01,2.28504,2.6917657
1986-12-01,2.32128,2.4178807
1987-01-01,1.89738,2.4841329
1987-02-01,2.55992,2.2860399
1987-03-01,2.36225,3.2924154
1987-04-01,2.60849,2.5040952
1987-05-01,3.06630,2.1089003
1987-06-01,2.43666,2.8541465
1987-07-01,2.57171,2.2699856
1987-08-01,2.76508,2.5736129
1987-09-01,2.56529,2.3782102
1987-10-01,2.72868,3.6536838
1987-11-01,2.74270,3.4340067
1987-12-01,2.76804,2.4127504
1988-01-01,2.76063,2.4716843
1988-02-01,2.66949,2.8574932
1988-03-01,2.35979,2.69979
1988-04-01,2.55470,2.8051164
1988-05-01,1.65253,2.9078451
1988-06-01,2.38850,3.1271125
1988-07-01,2.15388,2.519765
1988-08-01,1.96803,3.2387426
1988-09-01,2.16723,3.3583363
1988-10-01,2.07977,3.1195532
1988-11-01,2.28624,3.0438255
1988-12-01,2.03088,3.2705519
1989-01-01,2.36107,3.2522086
1989-02-01,2.23152,3.4107659
1989-03-01,2.61757,3.4665077
1989-04-01,2.13432,4.0567583
1989-05-01,2.45599,4.5063594
1989-06-01,2.16746,4.4537932
1989-07-01,2.09630,3.9023212
1989-08-01,2.05843,3.7337629
1989-09-01,1.73203,3.9695677
1989-10-01,1.68024,3.9351917
1989-11-01,1.56072,3.8626916
1989-12-01,1.48660,3.9212537
1990-01-01,2.03328,3.8222423
1990-02-01,1.95503,3.3671184
1990-03-01,1.86375,4.4317957
1990-04-01,1.49876,4.5271299
1990-05-01,1.75236,4.306266
1990-06-01,1.33285,3.723638
1990-07-01,1.13899,4.2893189
1990-08-01,0.97488,3.9024277
1990-09-01,0.99698,2.8532794
1990-10-01,0.81221,2.5751771
1990-11-01,0.33415,2.0646565
1990-12-01,0.34881,2.0894376
1991-01-01,-0.95817,2.6883276
1991-02-01,-1.09526,3.005898
1991-03-01,-1.30114,2.8324823
1991-04-01,-0.62515,3.4151165
1991-05-01,-1.43599,3.1527912
1991-06-01,-1.12957,2.9628444
1991-07-01,-1.04537,2.8635075
1991-08-01,-1.10941,2.7017628
1991-09-01,-0.50285,2.6341698
1991-10-01,-0.62091,2.1585658
1991-11-01,-0.45306,2.0656466
1991-12-01,-0.65544,1.6402663
1992-01-01,0.03222,1.5042928
1992-02-01,-0.00170,1.4546552
1992-03-01,0.41818,1.3698845
1992-04-01,0.26840,1.7498465
1992-05-01,0.79615,1.4915908
1992-06-01,0.66305,1.2528546
1992-07-01,0.97390,1.2538584
1992-08-01,1.14228,1.0686998
1992-09-01,0.67160,0.98347453
1992-10-01,0.70289,0.7363209
1992-11-01,0.93912,0.90703369
1992-12-01,1.30336,1.0995671
1993-01-01,0.92983,0.90345318
1993-02-01,1.29254,0.79552367
1993-03-01,1.18330,0.55103927
1993-04-01,0.88494,0.71185854
1993-05-01,1.46990,0.60491925
1993-06-01,1.57998,1.255523
1993-07-01,1.47751,0.83848638
1993-08-01,1.70838,0.91406765
1993-09-01,1.54481,0.76919008
1993-10-01,1.85032,0.53441071
1993-11-01,1.92890,0.7285159
1993-12-01,2.07316,0.9479423
1994-01-01,2.42788,0.88858704
1994-02-01,2.35674,0.77513982
1994-03-01,1.99762,0.33699727
1994-04-01,2.35700,1.3045958
